#M       ngtM_MultiDark_z=0.56
1.00000e+10 2.65323e-01
1.12202e+10 2.39007e-01
1.25893e+10 2.15302e-01
1.41254e+10 1.93949e-01
1.58489e+10 1.74718e-01
1.77828e+10 1.57387e-01
1.99526e+10 1.41775e-01
2.23872e+10 1.27710e-01
2.51189e+10 1.15033e-01
2.81838e+10 1.03612e-01
3.16228e+10 9.33198e-02
3.54813e+10 8.40434e-02
3.98107e+10 7.56854e-02
4.46684e+10 6.81513e-02
5.01187e+10 6.13614e-02
5.62341e+10 5.52433e-02
6.30957e+10 4.97277e-02
7.07946e+10 4.47575e-02
7.94328e+10 4.02787e-02
8.91251e+10 3.62416e-02
1.00000e+11 3.26042e-02
1.12202e+11 2.93261e-02
1.25893e+11 2.63720e-02
1.41254e+11 2.37109e-02
1.58489e+11 2.13126e-02
1.77828e+11 1.91521e-02
1.99526e+11 1.72062e-02
2.23872e+11 1.54529e-02
2.51189e+11 1.38742e-02
2.81838e+11 1.24524e-02
3.16228e+11 1.11721e-02
3.54813e+11 1.00197e-02
3.98107e+11 8.98222e-03
4.46684e+11 8.04852e-03
5.01187e+11 7.20860e-03
5.62341e+11 6.45279e-03
6.30957e+11 5.77313e-03
7.07946e+11 5.16215e-03
7.94328e+11 4.61281e-03
8.91251e+11 4.11931e-03
1.00000e+12 3.67600e-03
1.12202e+12 3.27791e-03
1.25893e+12 2.92070e-03
1.41254e+12 2.60014e-03
1.58489e+12 2.31270e-03
1.77828e+12 2.05514e-03
1.99526e+12 1.82435e-03
2.23872e+12 1.61777e-03
2.51189e+12 1.43298e-03
2.81838e+12 1.26773e-03
3.16228e+12 1.12014e-03
3.54813e+12 9.88377e-04
3.98107e+12 8.70857e-04
4.46684e+12 7.66175e-04
5.01187e+12 6.72958e-04
5.62341e+12 5.90082e-04
6.30957e+12 5.16492e-04
7.07946e+12 4.51191e-04
7.94328e+12 3.93358e-04
8.91251e+12 3.42200e-04
1.00000e+13 2.97007e-04
1.12202e+13 2.57172e-04
1.25893e+13 2.22099e-04
1.41254e+13 1.91287e-04
1.58489e+13 1.64283e-04
1.77828e+13 1.40649e-04
1.99526e+13 1.20027e-04
2.23872e+13 1.02078e-04
2.51189e+13 8.64904e-05
2.81838e+13 7.30020e-05
3.16228e+13 6.13610e-05
3.54813e+13 5.13483e-05
3.98107e+13 4.27722e-05
4.46684e+13 3.54483e-05
5.01187e+13 2.92234e-05
5.62341e+13 2.39579e-05
6.30957e+13 1.95211e-05
7.07946e+13 1.58052e-05
7.94328e+13 1.27098e-05
8.91251e+13 1.01455e-05
1.00000e+14 8.03664e-06
1.12202e+14 6.31295e-06
1.25893e+14 4.91493e-06
1.41254e+14 3.79086e-06
1.58489e+14 2.89379e-06
1.77828e+14 2.18517e-06
1.99526e+14 1.63114e-06
2.23872e+14 1.20223e-06
2.51189e+14 8.74404e-07
2.81838e+14 6.26882e-07
3.16228e+14 4.42472e-07
3.54813e+14 3.07240e-07
3.98107e+14 2.09516e-07
4.46684e+14 1.40145e-07
5.01187e+14 9.18498e-08
5.62341e+14 5.88453e-08
6.30957e+14 3.68061e-08
7.07946e+14 2.24357e-08
7.94328e+14 1.32918e-08
8.91251e+14 7.64190e-09
1.00000e+15 4.25121e-09
1.12202e+15 2.28151e-09
1.25893e+15 1.17902e-09
1.41254e+15 5.83961e-10
1.58489e+15 2.76298e-10
1.77828e+15 1.24501e-10
1.99526e+15 5.30477e-11
2.23872e+15 2.12448e-11
2.51189e+15 7.89641e-12
2.81838e+15 2.63209e-12
